id,date_ech,code_qual,lib_qual,coul_qual,date_dif,source,type_zone,code_zone,lib_zone,code_no2,code_so2,code_o3,code_pm10,code_pm25,x_wgs84,y_wgs84,x_reg,y_reg,epsg_reg
1472731,2022-06-25T00:00:00.000,2,Moyen,#50CCAA,2022-06-25T09:24:56.000,Atmo Normandie,commune,61302,Neauphe-sur-Dive,1,1,2,1,1,0.0954790339,48.8489761,486901.313,6864912,2154
1472762,2022-06-25T00:00:00.000,2,Moyen,#50CCAA,2022-06-25T09:24:56.000,Atmo Normandie,commune,61265,Ménil-Gondouin,1,1,2,1,1,-0.292700619,48.7540932,457997.094,6855489,2154
1472764,2022-06-25T00:00:00.000,2,Moyen,#50CCAA,2022-06-25T09:24:56.000,Atmo Normandie,commune,61263,Ménil-Erreux,1,1,2,1,1,0.189340413,48.5081291,492436.188,6826792.5,2154
1472765,2022-06-25T00:00:00.000,2,Moyen,#50CCAA,2022-06-25T09:24:56.000,Atmo Normandie,commune,61262,Le Ménil-Ciboult,1,1,2,1,1,-0.789734066,48.764843,421550.313,6858321,2154
1472766,2022-06-25T00:00:00.000,2,Moyen,#50CCAA,2022-06-25T09:24:56.000,Atmo Normandie,commune,61261,Le Ménil-Broût,1,1,2,1,1,0.230321333,48.4827232,495362.313,6823863,2154
1472767,2022-06-25T00:00:00.000,2,Moyen,#50CCAA,2022-06-25T09:24:56.000,Atmo Normandie,commune,61260,Le Ménil-de-Briouze,1,1,2,1,1,-0.398833543,48.6767921,449831.594,6847233,2154
1472768,2022-06-25T00:00:00.000,2,Moyen,#50CCAA,2022-06-25T09:24:56.000,Atmo Normandie,commune,61259,Le Ménil-Bérard,1,1,2,1,1,0.510542035,48.7063751,516842.906,6848024.5,2154
1472769,2022-06-25T00:00:00.000,2,Moyen,#50CCAA,2022-06-25T09:24:56.000,Atmo Normandie,commune,61258,Le Mêle-sur-Sarthe,1,1,2,1,1,0.352139324,48.5114174,504466.313,6826742,2154
1472770,2022-06-25T00:00:00.000,2,Moyen,#50CCAA,2022-06-25T09:24:56.000,Atmo Normandie,commune,61257,Méhoudin,1,1,2,1,1,-0.383318216,48.4996376,450129.313,6827508,2154
1472771,2022-06-25T00:00:00.000,2,Moyen,#50CCAA,2022-06-25T09:24:56.000,Atmo Normandie,commune,61256,Médavy,1,1,2,1,1,0.0859190375,48.6766548,485493.313,6845791.5,2154
1472772,2022-06-25T00:00:00.000,2,Moyen,#50CCAA,2022-06-25T09:24:56.000,Atmo Normandie,commune,61255,Mauves-sur-Huisne,1,1,2,1,1,0.620589018,48.4477959,524070.813,6819042,2154
1472774,2022-06-25T00:00:00.000,2,Moyen,#50CCAA,2022-06-25T09:24:56.000,Atmo Normandie,commune,61251,Marchemaisons,1,1,2,1,1,0.304865152,48.52145,501014.688,6827975,2154
1472776,2022-06-25T00:00:00.000,2,Moyen,#50CCAA,2022-06-25T09:24:56.000,Atmo Normandie,commune,61244,Mahéru,1,1,2,1,1,0.432231724,48.658165,510909.094,6842852,2154
1472782,2022-06-25T00:00:00.000,2,Moyen,#50CCAA,2022-06-25T09:24:56.000,Atmo Normandie,commune,61237,Lougé-sur-Maire,1,1,2,1,1,-0.225296631,48.6940727,462675.813,6848617,2154
1472783,2022-06-25T00:00:00.000,2,Moyen,#50CCAA,2022-06-25T09:24:56.000,Atmo Normandie,commune,61234,Lonrai,1,1,2,1,1,0.0403667204,48.4600449,481239.406,6821853,2154
1472784,2022-06-25T00:00:00.000,2,Moyen,#50CCAA,2022-06-25T09:24:56.000,Atmo Normandie,commune,61233,Lonlay-le-Tesson,1,1,2,1,1,-0.352855653,48.643734,453057.688,6843416.5,2154
1472834,2022-06-25T00:00:00.000,2,Moyen,#50CCAA,2022-06-25T09:24:56.000,Atmo Normandie,commune,61165,La Ferrière-Bochard,1,1,2,1,1,-0.031216925,48.4123001,475747.188,6816750.5,2154
1472835,2022-06-25T00:00:00.000,2,Moyen,#50CCAA,2022-06-25T09:24:56.000,Atmo Normandie,commune,61164,La Ferrière-Béchet,1,1,2,1,1,0.0704399273,48.5796051,483954.188,6835051.5,2154
1472836,2022-06-25T00:00:00.000,2,Moyen,#50CCAA,2022-06-25T09:24:56.000,Atmo Normandie,commune,61163,La Ferrière-aux-Étangs,1,1,2,1,1,-0.520377517,48.6628914,440822.406,6846081,2154
1472837,2022-06-25T00:00:00.000,2,Moyen,#50CCAA,2022-06-25T09:24:56.000,Atmo Normandie,commune,61162,La Ferrière-au-Doyen,1,1,2,1,1,0.498946011,48.6662636,515848.813,6843594.5,2154
1472838,2022-06-25T00:00:00.000,2,Moyen,#50CCAA,2022-06-25T09:24:56.000,Atmo Normandie,commune,61160,Feings,1,1,2,1,1,0.634006858,48.5457153,525388.688,6829892.5,2154
1472840,2022-06-25T00:00:00.000,2,Moyen,#50CCAA,2022-06-25T09:24:56.000,Atmo Normandie,commune,61158,Faverolles,1,1,2,1,1,-0.298519939,48.6675644,457167.906,6845895,2154
1472842,2022-06-25T00:00:00.000,2,Moyen,#50CCAA,2022-06-25T09:24:56.000,Atmo Normandie,commune,61153,Écouché-les-Vallées,1,1,2,1,1,-0.122732542,48.7172813,470320.688,6850892,2154
1472843,2022-06-25T00:00:00.000,2,Moyen,#50CCAA,2022-06-25T09:24:56.000,Atmo Normandie,commune,61152,Écorches,1,1,2,1,1,0.0922277868,48.8672523,486737.688,6866952,2154
1472859,2022-06-25T00:00:00.000,2,Moyen,#50CCAA,2022-06-25T09:24:56.000,Atmo Normandie,commune,61129,Courgeon,1,1,2,1,1,0.613282204,48.4793434,523636.688,6822564,2154
